344	6	COL11A2
346	6	TRIM26
373	6	PRPF4B
389	6	HIST1H4E
395	6	CDKAL1
411	6	LY6G6E
415	6	HIST1H2AB
416	6	GMPR
419	6	HSPA1L
42	6	RP11-514O12.4
430	6	VPS52
436	6	PDSS2
437	6	TCF19
443	6	ZBTB9
450	6	DDR1
48	6	ATG5
496	6	PPP1R18
51	6	GPLD1
58	6	HIST1H4C
78	6	PIM1
79	6	SYNE1
86	6	TXNDC5
98	6	NEU1
105	7	CCDC129
108	7	STARD3NL
120	7	PRR15
153	7	CACNA2D1
166	7	PPP1R9A
209	7	BBS9
210	7	AC005281.1
24	7	GRM8
294	7	ARL4A
325	7	AOAH
352	7	RAPGEF5
37	7	NPVF
381	7	ANLN
39	7	PHTF2
418	7	ADCYAP1R1
446	7	ORC5
451	7	ATXN7L1
490	7	MPP6
53	7	SUN3
95	7	RELN
101	8	TRPA1
117	8	ADCY8
131	8	TUSC3
132	8	ANGPT1
151	8	TNFRSF10D
176	8	ATP6V1B2
179	8	RP1L1
180	8	NAT2
200	8	CSMD1
215	8	RHOBTB2
218	8	FER1L6
229	8	CLVS1
255	8	ZFAT
282	8	PPP2R2A
286	8	CLDN23
302	8	OXR1
307	8	NAT1
313	8	RIMS2
314	8	NCALD
348	8	NDRG1
365	8	TMEM71
376	8	FAM135B
377	8	SBSPON
379	8	R3HCC1
409	8	TRAPPC9
488	8	C8orf74
500	8	BNIP3L
52	8	FGL1
70	8	AGPAT5
116	9	AL162389.1
143	9	ASTN2
152	9	DMRT1
159	9	COL27A1
16	9	KDM4C
173	9	TMEM268
186	9	TXN
207	9	SMARCA2
238	9	KLF4
249	9	ACTL7A
258	9	VPS13A
259	9	TXNDC8
277	9	CORO2A
300	9	WHRN
327	9	SHB
413	9	SLC1A1
441	9	AL161450.1
449	9	RXRA
460	9	MUSK
461	9	PIP5K1B
473	9	ORM2
481	9	AMBP
493	9	AUH
494	9	SH3GL2
88	9	GLIS3
