0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
53	7	SUN3	3.808713680894227e-48	2.3923741618061325e-20	537	20.96687368293098	14.230825217278898	75.25885092320841	53.21604383211969
54	11	CTD-2010I16.2	2.248904057133337e-49	5.311319488336333e-56	653	27.76328946606607	18.890075363730645	83.52312298831754	59.05976665092849
55	19	ZNF613	3.526949826403692e-38	5.088174540366981e-22	582	22.02733137214679	14.880610996108302	74.31628257065543	52.54954735829741
56	18	ALPK2	2.712102999782905e-82	1.7344555676390793e-41	636	23.215867796529025	15.605096839507183	78.09253710850278	55.2197625494946
57	10	PCBD1	2.3643235155518204e-116	2.70757715751829e-38	623	22.513511923920575	14.998913596212716	74.2429801465681	52.49771471714992
58	6	HIST1H4C	3.3159687945432e-94	1.2033256605342484e-55	656	41.509156423587314	28.814329066905742	131.59384716303904	93.0509016914191
59	2	IL18RAP	1.659342046365458e-102	2.81759255775246e-40	541	36.94672727541415	25.38643550900477	95.71276203918374	67.67914308400911
60	11	OR51T1	1.3140584201871885e-73	1.6160546751839317e-21	799	27.6387462063646	18.82284350238163	104.34819738948467	73.78531797870798
61	10	PRKG1	2.2008506623576998e-203	5.7134907573268815e-36	1119	30.767840206157672	20.872287006224525	122.42675035095036	86.56878537180187
62	19	ZNF577	1.734305273528239e-37	1.3165957767630547e-22	608	21.993627253432408	14.842833961660418	75.59834234093094	53.45610051574592
63	12	IPO8	1.6033830744326873e-68	1.3837699808934475e-93	591	36.43678933742565	24.953232887455968	103.41237102674745	73.12358881160175
64	20	NXT1	1.0939987561973189e-90	7.006050246085906e-51	540	32.70005998405077	22.270395528550544	88.55406608601075	62.61718063106872
65	15	GCOM1	1.4283852481994252e-64	2.0758818784165726e-34	701	32.802198872442105	22.29791088557363	96.94776810559188	68.55242424837499
66	18	C18orf63	2.6833585421233958e-55	3.468620305039656e-34	592	24.579522915294746	16.503980526935642	71.85178487289372	50.806884323992456
67	16	SHISA9	2.5505139155276768e-80	6.382890070527483e-51	906	33.183387640756905	22.542928989281293	107.86127165613439	76.26943661547024
68	22	KIAA0930	1.6049507811692032e-27	1.4019289942044417e-08	635	17.919764713148155	11.97553300715905	71.1162062543422	50.286751694720046
69	16	KIFC3	2.7025220321789938e-36	1.7535331213505736e-15	550	15.43748942586599	10.318311669398327	66.33604939005639	46.906670360849155
70	8	AGPAT5	8.044125320987835e-28	2.1708501820926605e-10	818	21.272645371086256	14.412792075002258	95.37708974407013	67.44178692788323
71	4	RP11-717K11.2	6.7716586114420304e-43	1.4941567744192486e-32	586	22.495906888884008	15.10818686451519	75.76571954932996	53.57445407482135
72	16	LPCAT2	7.907343611524733e-105	8.929053306058693e-51	698	24.818718125873602	16.755118132693127	83.79528379518199	59.252213403036905
73	4	RELL1	1.9602009593319692e-79	2.6161910153860195e-18	627	18.322086060883606	12.230902562588582	73.76076541973661	52.15673741381964
74	4	HTRA3	3.4875850913903676e-40	6.414140407616123e-24	576	17.71070128878985	11.822208253341735	68.31142156673086	48.303469422341124
75	13	AL139080.1	6.85778408278264e-72	7.974052765166688e-36	690	25.160925758982486	16.872279713841138	81.12247509917769	57.36225224927791
76	14	CBLN3	8.296341151255032e-69	3.08828554764663e-45	557	28.04195050971896	19.02173633451727	83.074752673436	58.74272096079159
77	2	GCFC2	1.6475701746407945e-75	1.0333895414202095e-37	554	27.907344076926364	18.950827674712215	87.5245693277266	61.88921649207765
78	6	PIM1	1.3210472810543508e-91	3.200576942485397e-37	600	24.41184045532809	16.382679573148174	74.81504584169694	52.902226249457904
79	6	SYNE1	2.2753563201964093e-85	6.605707468443921e-53	836	29.467091869404882	20.03601887901135	98.34715200694959	69.54193809451174
80	18	C18orf25	1.5678072040484813e-42	1.7526270959594353e-31	561	18.873750546171948	12.755253783739725	74.95132679762268	52.99859143753848
81	12	AC055736.1	5.5800503791482015e-73	1.904144561090186e-57	744	30.457002178922153	20.780786768737585	99.9472869969516	70.67340439675588
82	13	DNAJC15	2.617150485835545e-89	4.408048975974203e-86	593	33.306637252286066	22.502475465891443	80.88828430357381	57.19665434961508
83	10	AIFM2	8.169915237536745e-89	1.883796375485261e-41	691	20.002383504150814	13.30934002328059	76.38317644399089	54.01106203212932
84	10	PTPRE	1.9209850082913635e-87	2.798232332688331e-37	807	21.18870716109282	14.186183684282739	87.94688889781123	62.18784152391663
85	5	RANBP17	5.098136852155586e-26	9.083062236651915e-12	682	25.317993004980195	17.09918739085049	77.38967836490708	54.722766365685125
86	6	TXNDC5	1.28665557837235e-87	3.3087552518651033e-37	617	23.460160402829175	15.820156392209206	80.01879044617685	56.581829346848174
87	1	SGIP1	2.628022199664276e-92	2.7150195499867008e-65	653	39.343252960464056	26.951563217919286	102.99438049218563	72.82802487014098
88	9	GLIS3	2.017926760464001e-132	4.712994361964258e-56	1081	26.416876115009202	17.725179209889717	111.47840332417212	78.82713494638502
